vehicle_id,task_id,execution_location,size,execution_cycles,start_time,end_time,release_time,response_time,transmission_time,execution_time,execution_energy,transfer_energy,total_energy
1,6,1,2000000,4000000000,271,1071,6,1065,265,800,0,0.07949840956168164,0.07949840956168164
1,9,1,2000000,7000000000,1071,2471,9,2462,265,1400,0,0.07949840956168164,0.07949840956168164
1,10,1,2000000,5000000000,2471,3471,10,3461,265,1000,0,0.07949840956168164,0.07949840956168164
1,14,1,2000000,2000000000,3471,3871,14,3857,265,400,0,0.07949840956168164,0.07949840956168164
1,42,1,2000000,6000000000,3871,5071,42,5029,265,1200,0,0.07949840956168164,0.07949840956168164
1,76,1,2000000,7000000000,5071,6471,76,6395,265,1400,0,0.07950256048113598,0.07950256048113598
1,4,0,5000000,7000000000,4,7004,4,7000,0,7000,0.7,0,0.7
1,78,1,2000000,9000000000,6471,8271,78,8193,265,1800,0,0.07950256048113598,0.07950256048113598
