vehicle_id,task_id,execution_location,size,distance,transfer_rate,execution_cycles,start_time,end_time,release_time,response_time,transmission_time,execution_time,execution_energy,transfer_energy,total_energy
1,1,1,3000000,180.12362227092814,1273572.4377154396,9000000000,2357,4157,1,4156,2356,1800,0,0.706673584750655,0.706673584750655
1,6,1,3000000,176.9745419544856,1365792.4119704743,3000000000,4157,4757,501,4256,2197,600,0,0.658958119925077,0.658958119925077
1,14,1,2000000,177.15351337187752,1360333.175723017,6000000000,4757,5957,1301,4656,1470,1200,0,0.44106841669953395,0.44106841669953395
1,21,1,2000000,177.46319759319115,1350950.671812685,5000000000,6757,7757,2001,5756,1480,1000,0,0.44413168631459293,0.44413168631459293
1,9,1,4000000,177.0236532218223,1364291.6446745733,10000000000,7757,9757,801,8956,2932,2000,0,0.8795773284137043,0.8795773284137043
2,1,0,4000000,,0,3000000000,1,3001,1,3000,0,3000,0.3,0,0.3
2,13,1,2000000,185.5676534313025,1131684.9658090847,2000000000,2968,3368,1201,2167,1767,400,0,0.5301828849259627,0.5301828849259627
2,6,1,3000000,186.0326113884337,1120500.5568019846,7000000000,3368,4768,501,4267,2677,1400,0,0.8032124522710509,0.8032124522710509
2,2,1,4000000,186.1328410034081,1118107.611101525,2000000000,4768,5168,101,5067,3577,400,0,1.0732419563961266,1.0732419563961266
2,20,1,4000000,184.8130636616362,1150133.6293584416,8000000000,5379,6979,1901,5078,3478,1600,0,1.043357023365515,1.043357023365515
2,32,1,3000000,182.92734760007866,1197899.1049352274,8000000000,6979,8579,3101,5478,2504,1600,0,0.7513153622805859,0.7513153622805859
2,48,1,2000000,179.70146354440192,1285475.9151565845,3000000000,8579,9179,4701,4478,1556,600,0,0.46675320239423834,0.46675320239423834
2,34,1,4000000,182.54917173189259,1207773.5506135083,2000000000,9179,9579,3301,6278,3312,400,0,0.9935637350150949,0.9935637350150949
4,1,0,7000000,,0,4000000000,1,4001,1,4000,0,4000,0.39999999999999997,0,0.39999999999999997
4,3,0,3000000,,0,2000000000,4001,6001,201,5800,0,2000,0.19999999999999998,0,0.19999999999999998
4,10,1,2000000,218.06298952366956,595694.3974891492,10000000000,4258,6258,901,5357,3357,2000,0,1.0072278714203102,1.0072278714203102
4,21,1,2000000,216.03868565606487,618240.2723290927,2000000000,6258,6658,2001,4657,3235,400,0,0.9704964669150777,0.9704964669150777
4,8,1,3000000,218.2873926730539,593258.6660704229,6000000000,6658,7858,701,7157,5057,1200,0,1.5170448431227221,1.5170448431227221
4,4,0,4000000,,0,2000000000,6001,8001,301,7700,0,2000,0.19999999999999998,0,0.19999999999999998
4,40,1,2000000,209.57378939170803,697743.5657975441,8000000000,7858,9458,3901,5557,2866,1600,0,0.8599147730071578,0.8599147730071578
5,2,1,2000000,155.65185543384956,2268207.236460645,8000000000,983,2583,101,2482,882,1600,0,0.2645260937163095,0.2645260937163095
5,1,0,3000000,,0,3000000000,1,3001,1,3000,0,3000,0.3,0,0.3
5,11,1,2000000,154.47268043249588,2337139.305527633,2000000000,3183,3583,1001,2582,856,400,0,0.25672410650957916,0.25672410650957916
5,7,1,3000000,155.2221659428833,2293030.6677913526,8000000000,3583,5183,601,4582,1308,1600,0,0.39249366030803245,0.39249366030803245
5,6,1,5000000,155.35205985116514,2285491.2958677714,4000000000,5183,5983,501,5482,2188,800,0,0.6563140287219819,0.6563140287219819
5,16,1,3000000,153.11454699015377,2419777.212222602,9000000000,5983,7783,1501,6282,1240,1800,0,0.3719350671846919,0.3719350671846919
5,9,1,5000000,154.89238748240663,2312310.6366361855,2000000000,7783,8183,801,7382,2162,400,0,0.6487017687995902,0.6487017687995902
6,1,0,3000000,,0,6000000000,1,6001,1,6000,0,6000,0.6,0,0.6
6,2,0,8000000,,0,3000000000,6001,9001,101,8900,0,3000,0.3,0,0.3
8,2,0,7000000,,0,9000000000,101,9101,101,9000,0,9000,0.8999999999999999,0,0.8999999999999999
8,14,1,2000000,199.2182843014165,853604.88615606,6000000000,8017,9217,1301,7916,2343,1200,0,0.7029013185502141,0.7029013185502141
9,3,1,2000000,65.9789360326461,49617341.04410793,4000000000,241,1041,201,840,40,800,0,0.012092546423771939,0.012092546423771939
9,1,0,3000000,,0,2000000000,1,2001,1,2000,0,2000,0.19999999999999998,0,0.19999999999999998
9,4,1,10000000,65.9941845922806,49584187.43251014,4000000000,1841,2641,301,2340,202,800,0,0.060503159481706745,0.060503159481706745
9,6,1,2000000,66.0453813676627,49473043.37215184,7000000000,3241,4641,501,4140,40,1400,0,0.012127816667485174,0.012127816667485174
9,7,1,6000000,66.08155567176068,49394668.32650887,5000000000,5841,6841,601,6240,121,1000,0,0.03644118000958386,0.03644118000958386
10,4,1,4000000,137.76099447956955,3660783.768916969,6000000000,1394,2594,301,2293,1093,1200,0,0.3277986561754824,0.3277986561754824
10,14,1,3000000,137.9442731685517,3641848.9882564386,3000000000,2594,3194,1301,1893,824,600,0,0.2471272155715829,0.2471272155715829
10,7,1,7000000,137.7912370218077,3657651.033182996,10000000000,3194,5194,601,4593,1914,2000,0,0.574138970871838,0.574138970871838
10,2,1,10000000,137.75481007935798,3661424.79949357,3000000000,5194,5794,101,5693,2731,600,0,0.8193531655804989,0.8193531655804989
10,5,1,9000000,137.76611956500767,3660252.644015674,2000000000,5794,6194,401,5793,2459,400,0,0.7376539989430407,0.7376539989430407
10,21,1,4000000,138.33810068090426,3601568.4291207045,8000000000,6194,7794,2001,5793,1111,1600,0,0.333188171658027,0.333188171658027
10,27,1,3000000,139.13464701504083,3521761.67146144,3000000000,7794,8394,2601,5793,852,600,0,0.2555539198728696,0.2555539198728696
10,12,1,9000000,137.88062735569494,3648410.630057316,3000000000,8394,8994,1101,7893,2467,600,0,0.7400482768458504,0.7400482768458504
