vehicle_id,task_id,execution_location,size,execution_cycles,start_time,end_time,release_time,response_time,transmission_time,execution_time,execution_energy,transfer_energy,total_energy
14,3,0,3000000,4000000000,3,4003,3,4000,0,4000,0.39999999999999997,0,0.39999999999999997
15,5,1,2000000,7000000000,867,2267,5,2262,862,1400,0,0.258554222747923,0.258554222747923
15,10,1,2000000,3000000000,2267,2867,10,2857,862,600,0,0.258554222747923,0.258554222747923
15,19,1,2000000,10000000000,2867,4867,19,4848,862,2000,0,0.258554222747923,0.258554222747923
15,27,1,2000000,9000000000,4867,6667,27,6640,862,1800,0,0.258554222747923,0.258554222747923
15,49,1,2000000,2000000000,6667,7067,49,7018,862,400,0,0.258554222747923,0.258554222747923
15,1,0,6000000,8000000000,1,8001,1,8000,0,8000,0.7999999999999999,0,0.7999999999999999
15,51,1,2000000,6000000000,7067,8267,51,8216,862,1200,0,0.258554222747923,0.258554222747923
15,85,1,2000000,3000000000,8267,8867,85,8782,862,600,0,0.25849355760571135,0.25849355760571135
16,4,0,3000000,8000000000,4,8004,4,8000,0,8000,0.7999999999999999,0,0.7999999999999999
17,1,0,8000000,8000000000,1,8001,1,8000,0,8000,0.7999999999999999,0,0.7999999999999999
18,8,1,2000000,10000000000,567,2567,8,2559,559,2000,0,0.16782451369186135,0.16782451369186135
18,22,1,2000000,8000000000,2567,4167,22,4145,559,1600,0,0.16782451369186135,0.16782451369186135
18,50,1,2000000,3000000000,4167,4767,50,4717,559,600,0,0.16782451369186135,0.16782451369186135
18,70,1,2000000,9000000000,4767,6567,70,6497,560,1800,0,0.1678687960585119,0.1678687960585119
18,76,1,2000000,6000000000,6567,7767,76,7691,560,1200,0,0.1678687960585119,0.1678687960585119
18,1,0,6000000,8000000000,1,8001,1,8000,0,8000,0.7999999999999999,0,0.7999999999999999
18,87,1,2000000,6000000000,7767,8967,87,8880,560,1200,0,0.1678687960585119,0.1678687960585119
19,3,0,6000000,4000000000,3,4003,3,4000,0,4000,0.39999999999999997,0,0.39999999999999997
19,4,0,8000000,5000000000,4003,9003,4,8999,0,5000,0.49999999999999994,0,0.49999999999999994
20,6,1,2000000,5000000000,795,1795,6,1789,789,1000,0,0.2365803871387308,0.2365803871387308
20,19,1,2000000,4000000000,1795,2595,19,2576,789,800,0,0.2365803871387308,0.2365803871387308
20,2,0,2000000,4000000000,2,4002,2,4000,0,4000,0.39999999999999997,0,0.39999999999999997
20,44,1,2000000,10000000000,2595,4595,44,4551,789,2000,0,0.2365803871387308,0.2365803871387308
20,4,0,10000000,2000000000,4002,6002,4,5998,0,2000,0.19999999999999998,0,0.19999999999999998
20,76,1,2000000,8000000000,4595,6195,76,6119,789,1600,0,0.2365803871387308,0.2365803871387308
20,99,1,2000000,4000000000,6195,6995,99,6896,789,800,0,0.23657303652636882,0.23657303652636882
20,107,1,2000000,5000000000,6995,7995,107,7888,789,1000,0,0.23657303652636882,0.23657303652636882
20,143,1,2000000,9000000000,7995,9795,143,9652,789,1800,0,0.23656569009231077,0.23656569009231077
