vehicle_id,task_id,execution_location,size,execution_cycles,start_time,end_time,release_time,response_time,transmission_time,execution_time,execution_energy,transfer_energy,total_energy
1,3,1,2000000,2000000000,1772,2172,201,1971,1571,400,0,0.4711673818736219,0.4711673818736219
1,6,0,9000000,5000000000,501,5501,501,5000,0,5000,0.49999999999999994,0,0.49999999999999994
1,9,0,5000000,4000000000,5501,9501,801,8700,0,4000,0.39999999999999997,0,0.39999999999999997
2,1,0,4000000,5000000000,1,5001,1,5000,0,5000,0.49999999999999994,0,0.49999999999999994
2,2,1,4000000,9000000000,3678,5478,101,5377,3577,1800,0,1.0732419563961266,1.0732419563961266
2,23,1,2000000,2000000000,5478,5878,2201,3677,1724,400,0,0.5170754588497862,0.5170754588497862
2,3,0,7000000,2000000000,5001,7001,201,6800,0,2000,0.19999999999999998,0,0.19999999999999998
2,5,1,4000000,10000000000,5878,7878,401,7477,3573,2000,0,1.0717887730256452,1.0717887730256452
2,25,1,2000000,8000000000,7878,9478,2401,7077,1713,1600,0,0.5138067212768306,0.5138067212768306
3,1,0,10000000,8000000000,1,8001,1,8000,0,8000,0.7999999999999999,0,0.7999999999999999
4,4,1,2000000,2000000000,3690,4090,301,3789,3389,400,0,1.0167262900282303,1.0167262900282303
4,28,1,2000000,4000000000,5820,6620,2701,3919,3119,800,0,0.9355938534330808,0.9355938534330808
4,30,1,2000000,2000000000,6620,7020,2901,4119,3081,400,0,0.9243472268153494,0.9243472268153494
4,11,1,3000000,4000000000,7020,7820,1001,6819,5024,800,0,1.5072647513877941,1.5072647513877941
4,21,1,3000000,10000000000,7820,9820,2001,7819,4852,2000,0,1.4557447003726167,1.4557447003726167
5,1,0,5000000,4000000000,1,4001,1,4000,0,4000,0.39999999999999997,0,0.39999999999999997
5,17,1,4000000,7000000000,3967,5367,1601,3766,1640,1400,0,0.49211821308399134,0.49211821308399134
5,27,1,2000000,2000000000,5367,5767,2601,3166,737,400,0,0.22106812894877934,0.22106812894877934
5,16,1,5000000,7000000000,6567,7967,1501,6466,2066,1400,0,0.6198917786411532,0.6198917786411532
5,2,0,2000000,4000000000,4001,8001,101,7900,0,4000,0.39999999999999997,0,0.39999999999999997
5,11,1,6000000,10000000000,7967,9967,1001,8966,2567,2000,0,0.7701723195287375,0.7701723195287375
6,1,0,9000000,6000000000,1,6001,1,6000,0,6000,0.6,0,0.6
7,5,0,9000000,8000000000,401,8401,401,8000,0,8000,0.7999999999999999,0,0.7999999999999999
9,3,1,8000000,3000000000,362,962,201,761,161,600,0,0.048370185695087754,0.048370185695087754
9,7,1,4000000,5000000000,962,1962,601,1361,81,1000,0,0.02429412000638924,0.02429412000638924
9,1,0,2000000,9000000000,1,9001,1,9000,0,9000,0.8999999999999999,0,0.8999999999999999
9,9,1,9000000,4000000000,8562,9362,801,8561,183,800,0,0.05489223295097992,0.05489223295097992
10,5,1,3000000,3000000000,1221,1821,401,1420,820,600,0,0.2458846663143469,0.2458846663143469
10,12,1,2000000,2000000000,1821,2221,1101,1120,548,400,0,0.16445517263241122,0.16445517263241122
10,1,1,8000000,9000000000,2221,4021,1,4020,2185,1800,0,0.6554721792712234,0.6554721792712234
10,4,0,5000000,4000000000,301,4301,301,4000,0,4000,0.39999999999999997,0,0.39999999999999997
10,14,1,4000000,8000000000,4021,5621,1301,4320,1098,1600,0,0.3295029540954439,0.3295029540954439
10,2,1,9000000,8000000000,5621,7221,101,7120,2458,1600,0,0.737417849022449,0.737417849022449
10,7,1,8000000,4000000000,7221,8021,601,7420,2187,800,0,0.6561588238535291,0.6561588238535291
11,3,0,5000000,2000000000,201,2201,201,2000,0,2000,0.19999999999999998,0,0.19999999999999998
11,5,1,4000000,7000000000,2172,3572,401,3171,1729,1400,0,0.5186474880804646,0.5186474880804646
11,11,1,3000000,7000000000,3572,4972,1001,3971,1281,1400,0,0.38443265541237115,0.38443265541237115
11,8,1,4000000,8000000000,4972,6572,701,5871,1721,1600,0,0.516227730511834,0.516227730511834
11,18,1,2000000,4000000000,6572,7372,1701,5671,834,800,0,0.250071325941786,0.250071325941786
11,4,0,7000000,6000000000,2201,8201,301,7900,0,6000,0.6,0,0.6
11,13,1,4000000,10000000000,7372,9372,1201,8171,1698,2000,0,0.509472380830899,0.509472380830899
12,3,1,4000000,4000000000,1149,1949,201,1748,948,800,0,0.2842603988350378,0.2842603988350378
12,5,1,4000000,3000000000,1949,2549,401,2148,949,600,0,0.2848095875900505,0.2848095875900505
12,1,1,6000000,2000000000,2549,2949,1,2948,1420,400,0,0.4260805970666857,0.4260805970666857
12,4,1,8000000,2000000000,2949,3349,301,3048,1896,400,0,0.5688730790946851,0.5688730790946851
12,18,1,2000000,8000000000,3349,4949,1701,3248,496,1600,0,0.14890954359523237,0.14890954359523237
