vehicle_id,task_id,execution_location,size,execution_cycles,start_time,end_time,release_time,response_time,transmission_time,execution_time,execution_energy,transfer_energy,total_energy
1,2,1,3000000,6000000000,2457,3657,101,3556,2356,1200,0,0.7066890647477346,0.7066890647477346
1,11,1,2000000,2000000000,3657,4057,1001,3056,1467,400,0,0.4402204791826071,0.4402204791826071
1,1,0,4000000,5000000000,1,5001,1,5000,0,5000,0.49999999999999994,0,0.49999999999999994
1,3,0,8000000,7000000000,5001,12001,201,11800,0,7000,0.7,0,0.7
1,4,1,6000000,7000000000,16857,18257,301,17956,4391,1400,0,1.3173107362502747,1.3173107362502747
1,6,0,4000000,10000000000,12001,22001,501,21500,0,10000,0.9999999999999999,0,0.9999999999999999
1,8,0,4000000,3000000000,22001,25001,701,24300,0,3000,0.3,0,0.3
1,9,1,6000000,5000000000,25457,26457,801,25656,4398,1000,0,1.3193659926205565,1.3193659926205565
1,24,1,4000000,6000000000,28057,29257,2301,26956,2973,1200,0,0.8919769290624935,0.8919769290624935
1,13,0,2000000,5000000000,25001,30001,1201,28800,0,5000,0.49999999999999994,0,0.49999999999999994
1,19,1,5000000,6000000000,32657,33857,1801,32056,3693,1200,0,1.107807960286297,1.107807960286297
1,14,0,4000000,4000000000,30001,34001,1301,32700,0,4000,0.39999999999999997,0,0.39999999999999997
1,12,1,6000000,5000000000,33857,34857,1101,33756,4405,1000,0,1.3214330671256265,1.3214330671256265
1,5,1,8000000,8000000000,41457,43057,401,42656,5856,1600,0,1.7567764936923476,1.7567764936923476
1,15,0,2000000,10000000000,34001,44001,1401,42600,0,10000,0.9999999999999999,0,0.9999999999999999
1,16,1,7000000,8000000000,47057,48657,1501,47156,5155,1600,0,1.5465285923383265,1.5465285923383265
2,5,1,2000000,6000000000,2187,3387,401,2986,1786,1200,0,0.5358943865128226,0.5358943865128226
2,7,1,4000000,2000000000,4168,4568,601,3967,3567,400,0,1.0699609257337908,1.0699609257337908
2,8,1,4000000,4000000000,4568,5368,701,4667,3562,800,0,1.0687471604722631,1.0687471604722631
2,1,0,9000000,6000000000,1,6001,1,6000,0,6000,0.6,0,0.6
2,10,1,4000000,4000000000,5368,6168,901,5267,3553,800,0,1.0659550014747892,1.0659550014747892
2,32,1,2000000,5000000000,6168,7168,3101,4067,1670,1000,0,0.5008769081870573,0.5008769081870573
2,26,1,3000000,9000000000,7168,8968,2501,6467,2560,1800,0,0.7681454426485842,0.7681454426485842
2,31,1,3000000,2000000000,8968,9368,3001,6367,2514,400,0,0.7542577473912941,0.7542577473912941
2,14,1,5000000,4000000000,9368,10168,1301,8867,4410,800,0,1.3228706757617266,1.3228706757617266
2,6,1,6000000,10000000000,10168,12168,501,11667,5355,2000,0,1.6064249045421017,1.6064249045421017
2,35,1,3000000,3000000000,12168,12768,3401,9367,2474,600,0,0.7421347765193501,0.7421347765193501
2,18,1,5000000,9000000000,12768,14568,1701,12867,4370,1800,0,1.311051127189756,1.311051127189756
2,3,0,7000000,9000000000,6001,15001,201,14800,0,9000,0.8999999999999999,0,0.8999999999999999
2,2,1,7000000,8000000000,14568,16168,101,16067,6261,1600,0,1.8781734236932215,1.8781734236932215
2,50,1,2000000,3000000000,16168,16768,4901,11867,1542,600,0,0.4625292229772219,0.4625292229772219
2,42,1,4000000,9000000000,16768,18568,4101,14467,3199,1800,0,0.9597606143731028,0.9597606143731028
2,51,1,3000000,2000000000,18568,18968,5001,13967,2302,400,0,0.6905115121399593,0.6905115121399593
2,24,1,6000000,9000000000,18968,20768,2301,18467,5155,1800,0,1.5464006905400247,1.5464006905400247
2,54,1,3000000,4000000000,20768,21568,5301,16267,2272,800,0,0.681507385056402,0.681507385056402
2,4,0,3000000,7000000000,15001,22001,301,21700,0,7000,0.7,0,0.7
2,63,1,2000000,4000000000,21568,22368,6201,16167,1465,800,0,0.4395894473856944,0.4395894473856944
2,28,1,6000000,5000000000,22368,23368,2701,20667,5084,1000,0,1.5252966756638273,1.5252966756638273
2,43,1,5000000,7000000000,23368,24768,4201,20567,3980,1400,0,1.1940418827126902,1.1940418827126902
2,11,0,8000000,4000000000,22001,26001,1001,25000,0,4000,0.39999999999999997,0,0.39999999999999997
2,25,1,7000000,10000000000,24768,26768,2401,24367,5994,2000,0,1.7983235244689073,1.7983235244689073
2,46,1,5000000,3000000000,26768,27368,4501,22867,3926,600,0,1.1778579430112612,1.1778579430112612
2,57,1,4000000,7000000000,27368,28768,5601,23167,2992,1400,0,0.8977414501954865,0.8977414501954865
2,12,0,8000000,3000000000,26001,29001,1101,27900,0,3000,0.3,0,0.3
2,17,1,8000000,6000000000,28768,29968,1601,28367,7010,1200,0,2.102869029399054,2.102869029399054
2,59,1,4000000,4000000000,29968,30768,5801,24967,2970,800,0,0.8911358285562448,0.8911358285562448
2,81,1,2000000,9000000000,30768,32568,8001,24567,1412,1800,0,0.4236628515660164,0.4236628515660164
2,76,1,3000000,9000000000,32568,34368,7501,26867,2131,1800,0,0.6394155322048215,0.6394155322048215
2,9,1,10000000,10000000000,34368,36368,801,35567,8895,2000,0,2.6684656409558434,2.6684656409558434
2,22,1,9000000,4000000000,36368,37168,2101,35067,7779,800,0,2.3338370136766864,2.3338370136766864
2,13,0,3000000,10000000000,29001,39001,1201,37800,0,10000,0.9999999999999999,0,0.9999999999999999
2,45,1,7000000,10000000000,37168,39168,4401,34767,5522,2000,0,1.6565798479764113,1.6565798479764113
2,64,1,5000000,8000000000,39168,40768,6301,34467,3651,1600,0,1.0954105846115656,1.0954105846115656
2,39,1,8000000,10000000000,40768,42768,3801,38967,6484,2000,0,1.9451365666002562,1.9451365666002562
2,15,0,5000000,4000000000,39001,43001,1401,41600,0,4000,0.39999999999999997,0,0.39999999999999997
2,83,1,3000000,3000000000,42768,43368,8201,35167,2115,600,0,0.634408057260004,0.634408057260004
2,52,1,7000000,6000000000,43368,44568,5101,39467,5347,1200,0,1.604096214189312,1.604096214189312
2,92,1,2000000,7000000000,44568,45968,9101,36867,1408,1400,0,0.42247008328740593,0.42247008328740593
2,16,0,8000000,4000000000,43001,47001,1501,45500,0,4000,0.39999999999999997,0,0.39999999999999997
2,21,1,10000000,7000000000,45968,47368,2001,45367,8671,1400,0,2.601180571555497,2.601180571555497
2,33,1,9000000,2000000000,47368,47768,3201,44567,7484,400,0,2.2451050031991615,2.2451050031991615
2,56,1,7000000,6000000000,47768,48968,5501,43467,5258,1200,0,1.5774504865155952,1.5774504865155952
2,96,1,2000000,3000000000,48968,49568,9501,40067,1412,600,0,0.4236831790335736,0.4236831790335736
3,1,0,8000000,4000000000,1,4001,1,4000,0,4000,0.39999999999999997,0,0.39999999999999997
3,2,0,3000000,7000000000,4001,11001,101,10900,0,7000,0.7,0,0.7
3,5,0,10000000,2000000000,11001,13001,401,12600,0,2000,0.19999999999999998,0,0.19999999999999998
3,8,1,2000000,3000000000,13547,14147,701,13446,3425,600,0,1.0275416114217466,1.0275416114217466
3,15,1,2000000,2000000000,14147,14547,1401,13146,3372,400,0,1.01169324207858,1.01169324207858
3,6,0,3000000,3000000000,13001,16001,501,15500,0,3000,0.3,0,0.3
3,7,0,3000000,6000000000,16001,22001,601,21400,0,6000,0.6,0,0.6
3,34,1,2000000,4000000000,23947,24747,3301,21446,3095,800,0,0.9285121232738487,0.9285121232738487
3,38,1,2000000,6000000000,25547,26747,3701,23046,3018,1200,0,0.9052984344075338,0.9052984344075338
3,9,0,8000000,10000000000,22001,32001,801,31200,0,10000,0.9999999999999999,0,0.9999999999999999
3,22,1,4000000,4000000000,37747,38547,2101,36446,6582,800,0,1.9744690650274983,1.9744690650274983
3,12,0,9000000,7000000000,32001,39001,1101,37900,0,7000,0.7,0,0.7
3,67,1,2000000,10000000000,40547,42547,6601,35946,2398,2000,0,0.7195231705695707,0.7195231705695707
3,69,1,2000000,7000000000,44547,45947,6801,39146,2362,1400,0,0.7087129376177521,0.7087129376177521
3,14,0,2000000,9000000000,39001,48001,1301,46700,0,9000,0.8999999999999999,0,0.8999999999999999
3,31,1,4000000,3000000000,47947,48547,3001,45546,6299,600,0,1.889761177297481,1.889761177297481
4,11,1,2000000,5000000000,4350,5350,1001,4349,3349,1000,0,1.0048431675918628,1.0048431675918628
4,20,1,2000000,2000000000,5350,5750,1901,3849,3249,400,0,0.9747580337479838,0.9747580337479838
4,22,1,2000000,8000000000,5750,7350,2101,5249,3220,1600,0,0.9659489587060949,0.9659489587060949
4,1,0,4000000,9000000000,1,9001,1,9000,0,9000,0.8999999999999999,0,0.8999999999999999
4,6,1,3000000,10000000000,7350,9350,501,8849,5073,2000,0,1.521799664406561,1.521799664406561
4,15,1,3000000,10000000000,9350,11350,1401,9949,4967,2000,0,1.4900759334917784,1.4900759334917784
4,48,1,2000000,8000000000,11350,12950,4701,8249,2671,1600,0,0.8014015087574212,0.8014015087574212
4,50,1,2000000,10000000000,12950,14950,4901,10049,2621,2000,0,0.7861962800885478,0.7861962800885478
4,34,1,3000000,9000000000,14950,16750,3301,13449,4500,1800,0,1.349968520095504,1.349968520095504
4,65,1,2000000,3000000000,16750,17350,6401,10949,2261,600,0,0.6783104589078893,0.6783104589078893
4,4,1,5000000,4000000000,17350,18150,301,17849,8473,800,0,2.5418157250705757,2.5418157250705757
4,28,1,4000000,3000000000,18150,18750,2701,16049,6237,600,0,1.8711877068661615,1.8711877068661615
4,2,0,9000000,10000000000,9001,19001,101,18900,0,10000,0.9999999999999999,0,0.9999999999999999
4,55,1,3000000,9000000000,18750,20550,5401,15149,3739,1800,0,1.1216761566682136,1.1216761566682136
4,9,1,5000000,7000000000,20550,21950,801,21149,8412,1400,0,2.5235044860937674,2.5235044860937674
4,74,1,2000000,10000000000,21950,23950,7301,16649,2083,2000,0,0.6249649809056691,0.6249649809056691
4,7,0,2000000,6000000000,19001,25001,601,24400,0,6000,0.6,0,0.6
4,61,1,3000000,10000000000,23950,25950,6001,19949,3524,2000,0,1.0572763894813686,1.0572763894813686
4,44,1,4000000,3000000000,25950,26550,4301,22249,5541,600,0,1.6623431301412064,1.6623431301412064
4,47,1,4000000,4000000000,26550,27350,4601,22749,5392,800,0,1.617710631707887,1.617710631707887
4,70,1,3000000,4000000000,27350,28150,6901,21249,3239,800,0,0.9716603975036199,0.9716603975036199
4,8,0,8000000,4000000000,25001,29001,701,28300,0,4000,0.39999999999999997,0,0.39999999999999997
