vehicle_id,task_id,execution_location,size,distance,transfer_rate,execution_cycles,start_time,end_time,release_time,response_time,transmission_time,execution_time,execution_energy,transfer_energy,total_energy
2,49,1,5000000,179.49535509310545,1291337.7409857316,6000000000,19476,20676,4801,15875,3872,1200,0,1.161586122972746,1.161586122972746
2,42,1,6000000,180.9629055911736,1250311.7777799384,3000000000,20676,21276,4101,17175,4799,600,0,1.4396409215596542,1.4396409215596542
2,21,1,8000000,184.68415958062022,1153322.4693455289,4000000000,21276,22076,2001,20075,6936,800,0,2.0809444572443976,2.0809444572443976
2,8,0,6000000,,0,5000000000,17101,22101,701,21400,0,5000,0.49999999999999994,0,0.49999999999999994
2,14,1,9000000,185.4763435050411,1133897.6874185225,6000000000,22076,23276,1301,21975,7937,1200,0,2.3811672163711077,2.3811672163711077
2,27,1,8000000,183.79237443376152,1175687.4507183386,4000000000,23276,24076,2601,21475,6805,800,0,2.0413588650058423,2.0413588650058423
2,10,0,3000000,,0,2000000000,22101,24101,901,23200,0,2000,0.19999999999999998,0,0.19999999999999998
2,82,1,2000000,175.31663012960297,1417681.663069031,6000000000,24076,25276,8101,17175,1411,1200,0,0.42322618372668075,0.42322618372668075
2,41,1,7000000,181.1674694861084,1244722.5747240281,4000000000,25276,26076,4001,22075,5624,800,0,1.6871229321647023,1.6871229321647023
2,63,1,5000000,177.00341239648458,1364909.9257689002,7000000000,26076,27476,6201,21275,3663,1400,0,1.098973618464236,1.098973618464236
2,79,1,3000000,175.45032630348683,1413407.4193749942,2000000000,27476,27876,7801,20075,2123,400,0,0.6367590743212442,0.6367590743212442
2,58,1,6000000,177.76994177869324,1341736.4093738755,2000000000,27876,28276,5701,22575,4472,400,0,1.3415451704407233,1.3415451704407233
2,11,0,3000000,,0,5000000000,24101,29101,1001,28100,0,5000,0.49999999999999994,0,0.49999999999999994
2,39,1,8000000,181.56882469190577,1233846.5284187023,9000000000,28276,30076,3801,26275,6484,1800,0,1.9451365666002562,1.9451365666002562
2,69,1,5000000,176.2548087287266,1388023.5975187088,4000000000,30076,30876,6801,24075,3602,800,0,1.0806732700232655,1.0806732700232655
2,92,1,2000000,175.2375031207647,1420218.9071736487,4000000000,30876,31676,9101,22575,1408,800,0,0.42247008328740593,0.42247008328740593
2,53,1,7000000,178.68211606089733,1314793.4532917521,4000000000,31676,32476,5201,27275,5324,800,0,1.5972090481150356,1.5972090481150356
2,36,1,9000000,182.17026897932607,1217768.709742045,5000000000,32476,33476,3501,29975,7391,1000,0,2.217169794559699,2.217169794559699
2,37,1,9000000,181.97642182436715,1222922.025838202,7000000000,33476,34876,3601,31275,7359,1400,0,2.2078267812286683,2.2078267812286683
2,26,1,10000000,183.95167245774093,1171653.114150854,6000000000,34876,36076,2501,33575,8535,1200,0,2.560484808828614,2.560484808828614
2,76,1,5000000,175.63482143356427,1407535.404866747,4000000000,36076,36876,7501,29375,3552,800,0,1.0656925536747026,1.0656925536747026
2,98,1,2000000,175.4663295336173,1412896.8726360577,5000000000,36876,37876,9701,28175,1416,1000,0,0.4246594437431043,0.4246594437431043
2,13,0,6000000,,0,9000000000,29101,38101,1201,36900,0,9000,0.8999999999999999,0,0.8999999999999999
2,77,1,5000000,175.57125618961666,1409555.0969954433,8000000000,37876,39476,7601,31875,3547,1600,0,1.0641655677010042,1.0641655677010042
2,16,0,4000000,,0,3000000000,38101,41101,1501,39600,0,3000,0.3,0,0.3
2,54,1,8000000,178.48351072297964,1320601.976933112,8000000000,41276,42876,5301,37575,6058,1600,0,1.817353026817072,1.817353026817072
2,23,0,8000000,,0,3000000000,41101,44101,2201,41900,0,3000,0.3,0,0.3
2,55,1,8000000,178.30001374088556,1325997.011998673,10000000000,42876,44876,5401,39475,6033,2000,0,1.809958829682794,1.809958829682794
2,65,1,7000000,176.72874271040348,1373334.58198534,5000000000,44876,45876,6401,39475,5097,1000,0,1.5291248232926367,1.5291248232926367
2,56,1,8000000,178.12183021741043,1331262.0699992024,2000000000,45876,46276,5501,40775,6009,400,0,1.8028005560178229,1.8028005560178229
2,81,1,5000000,175.36227929631846,1416220.4634703645,6000000000,46276,47476,8001,39475,3531,1200,0,1.059157128915041,1.059157128915041
2,24,0,8000000,,0,6000000000,44101,50101,2301,47800,0,6000,0.6,0,0.6
2,40,1,10000000,181.3678375567179,1239278.1018991482,8000000000,53076,54676,3901,50775,8069,1600,0,2.420764149227369,2.420764149227369
2,25,0,9000000,,0,5000000000,50101,55101,2401,52700,0,5000,0.49999999999999994,0,0.49999999999999994
2,57,1,9000000,177.93912498379885,1336687.7509540142,4000000000,56476,57276,5601,51675,6733,800,0,2.0199182629398447,2.0199182629398447
2,46,1,10000000,180.12626959996706,1273498.2252317832,10000000000,57276,59276,4501,54775,7852,2000,0,2.3557158860225225,2.3557158860225225
2,105,1,3000000,175.9791669488181,1396656.6267995606,8000000000,59276,60876,10401,50475,2148,1600,0,0.6443960403226314,0.6443960403226314
2,28,0,9000000,,0,7000000000,55101,62101,2701,59400,0,7000,0.7,0,0.7
2,90,1,6000000,175.21258516442253,1421019.0810512374,3000000000,63876,64476,8901,55575,4222,600,0,1.2666965729048487,1.2666965729048487
2,113,1,3000000,176.88847135978082,1368427.554060432,2000000000,67276,67676,11201,56475,2192,400,0,0.6576891829819547,0.6576891829819547
2,71,1,9000000,176.0457920542266,1394563.8443811352,3000000000,67676,68276,7001,61275,6454,600,0,1.9360892015655098,1.9360892015655098
2,108,1,4000000,176.28025243912032,1387230.0547943213,3000000000,68276,68876,10701,58175,2883,600,0,0.8650331614808612,0.8650331614808612
